sec,nsec,x,y,z,roll,pitch,yaw
0,84955909,1913.000,89.858,1455.880,0.000,0.000,0.000
0,232535603,1913.000,89.615,1455.880,0.000,0.000,0.000
0,424326624,1913.017,89.332,1455.906,357.592,1.532,359.832
0,628466164,1913.017,89.325,1455.966,358.102,2.046,359.888
0,830258724,1913.018,89.325,1456.047,358.501,2.399,359.891
1,28199271,1913.020,89.321,1456.135,358.873,2.581,359.926
1,227751367,1913.022,89.315,1456.230,359.245,2.631,0.004
1,428231561,1913.021,89.307,1456.339,359.755,2.426,0.190
1,626589724,1913.020,89.299,1456.465,0.210,2.270,0.303
1,822994485,1913.020,89.291,1456.603,0.623,2.115,0.155
2,21806390,1913.024,89.287,1456.748,0.627,1.927,0.217
2,220497122,1913.033,89.288,1456.889,0.466,2.082,0.425
2,426460986,1913.038,89.287,1457.023,0.467,2.121,0.718
2,624175703,1913.041,89.281,1457.154,0.756,2.044,1.083
2,828364038,1913.039,89.268,1457.302,1.481,2.082,1.460
3,20626253,1913.059,89.243,1457.640,2.330,1.752,3.074
3,124338667,1913.093,89.234,1457.856,2.296,3.387,5.048
3,224154895,1913.137,89.230,1458.052,1.822,4.778,6.850
3,424379349,1913.240,89.191,1458.446,1.927,5.332,10.814
3,619834700,1913.361,89.160,1458.833,2.640,5.151,14.429
3,722801171,1913.433,89.146,1459.018,2.634,5.807,16.248
3,824500546,1913.522,89.126,1459.219,2.597,6.099,18.135
4,26614287,1913.726,89.079,1459.604,2.013,6.643,22.228
4,220397449,1913.943,89.050,1459.925,1.232,5.824,25.563
4,554123838,1914.357,88.993,1460.450,359.628,4.069,31.183
4,656631878,1914.489,88.972,1460.611,359.155,3.548,32.779
4,756909248,1914.616,88.951,1460.757,358.666,3.120,34.501
4,957000817,1914.883,88.926,1461.054,358.353,3.201,37.189
5,83911316,1915.063,88.911,1461.238,358.096,3.962,38.643
5,184893563,1915.206,88.899,1461.374,357.916,4.723,40.111
5,386348596,1915.507,88.876,1461.643,357.900,5.710,43.516
5,487174943,1915.660,88.860,1461.776,358.484,5.386,45.186
5,686022749,1915.973,88.824,1462.025,359.682,4.945,48.899
5,785828490,1916.134,88.812,1462.132,359.895,4.333,51.005
5,986327278,1916.488,88.785,1462.340,1.007,2.176,55.029
6,184280854,1916.848,88.776,1462.510,1.261,359.994,58.747
6,284652035,1917.027,88.768,1462.582,0.825,359.325,60.186
6,386225476,1917.208,88.763,1462.646,0.200,358.280,61.744
6,585621342,1917.570,88.781,1462.765,359.915,355.855,65.131
6,689351881,1917.761,88.801,1462.825,0.066,355.108,66.683
